
---------- Begin Simulation Statistics ----------
sim_seconds                                  4.976971                       # Number of seconds simulated
system.mem_ctrls0.wrQLenPdf::34                   468                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::35                   113                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::36                    22                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::37                     4                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::38                     3                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::39                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::40                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::41                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::42                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::43                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::44                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::45                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::46                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::47                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::48                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::49                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::50                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::51                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::52                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::53                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::54                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::55                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::56                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::57                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::58                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::59                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::60                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::61                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::62                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::63                     0                       # What write queue length does an incoming req see
system.mem_ctrls0.bytesPerActivate::samples     14114711                       # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::mean   140.364323                       # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::gmean   114.996257                       # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::stdev   104.157810                       # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::0-127      6165604     43.68%     43.68% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::128-255      5834863     41.34%     85.02% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::256-383      1515749     10.74%     95.76% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::384-511       388023      2.75%     98.51% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::512-639       117235      0.83%     99.34% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::640-767        55134      0.39%     99.73% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::768-895        23512      0.17%     99.90% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::896-1023         8374      0.06%     99.96% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::1024-1151         6217      0.04%    100.00% # Bytes accessed per row activation
system.mem_ctrls0.bytesPerActivate::total     14114711                       # Bytes accessed per row activation
system.mem_ctrls0.rdPerTurnAround::samples       764180                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::mean     23.390483                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::gmean    22.812883                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::stdev    38.031338                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::0-2047       764179    100.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::32768-34815            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::total       764180                       # Reads before turning the bus around for writes
system.mem_ctrls0.wrPerTurnAround::samples       764179                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::mean     17.118718                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::gmean    17.082829                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::stdev     1.113358                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::16          358977     46.98%     46.98% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::17           19384      2.54%     49.51% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::18          331334     43.36%     92.87% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::19           46239      6.05%     98.92% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::20            7288      0.95%     99.87% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::21             799      0.10%     99.98% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::22             129      0.02%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::23              23      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::24               4      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::25               2      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::total       764179                       # Writes before turning the bus around for reads
system.mem_ctrls0.totQLat                445562506708                       # Total ticks spent queuing
system.mem_ctrls0.totMemAccLat           780710112958                       # Total ticks spent from burst creation until serviced by the DRAM
system.mem_ctrls0.totBusLat               89372695000                       # Total ticks spent in databus transfers
system.mem_ctrls0.avgQLat                    24927.22                       # Average queueing delay per DRAM burst
system.mem_ctrls0.avgBusLat                   5000.00                       # Average bus latency per DRAM burst
system.mem_ctrls0.avgMemAccLat               43677.21                       # Average memory access latency per DRAM burst
system.mem_ctrls0.avgRdBW                      229.85                       # Average DRAM read bandwidth in MiByte/s
system.mem_ctrls0.avgWrBW                      168.22                       # Average achieved write bandwidth in MiByte/s
system.mem_ctrls0.avgRdBWSys                   229.85                       # Average system read bandwidth in MiByte/s
system.mem_ctrls0.avgWrBWSys                   168.22                       # Average system write bandwidth in MiByte/s
system.mem_ctrls0.peakBW                     12800.00                       # Theoretical peak bandwidth in MiByte/s
system.mem_ctrls0.busUtil                        3.11                       # Data bus utilization in percentage
system.mem_ctrls0.busUtilRead                    1.80                       # Data bus utilization in percentage for reads
system.mem_ctrls0.busUtilWrite                   1.31                       # Data bus utilization in percentage for writes
system.mem_ctrls0.avgRdQLen                      1.03                       # Average read queue length when enqueuing
system.mem_ctrls0.avgWrQLen                     24.93                       # Average write queue length when enqueuing
system.mem_ctrls0.readRowHits                 8526532                       # Number of row buffer hits during reads
system.mem_ctrls0.writeRowHits                8315058                       # Number of row buffer hits during writes
system.mem_ctrls0.readRowHitRate                47.70                       # Row buffer hit rate for reads
system.mem_ctrls0.writeRowHitRate               63.56                       # Row buffer hit rate for writes
system.mem_ctrls0.avgGap                    160773.87                       # Average gap between requests
system.mem_ctrls0.pageHitRate                   54.40                       # Row buffer hit rate, read and write combined
system.mem_ctrls0_0.actEnergy             50546766060                       # Energy for activate commands per rank (pJ)
system.mem_ctrls0_0.preEnergy             26866224330                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls0_0.readEnergy            63990329340                       # Energy for read commands per rank (pJ)
system.mem_ctrls0_0.writeEnergy           34274123280                       # Energy for write commands per rank (pJ)
system.mem_ctrls0_0.refreshEnergy        401735465040.000061                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls0_0.actBackEnergy        517781095020                       # Energy for active background per rank (pJ)
system.mem_ctrls0_0.preBackEnergy         14626765920                       # Energy for precharge background per rank (pJ)
system.mem_ctrls0_0.actPowerDownEnergy   1374203009610                       # Energy for active power-down per rank (pJ)
system.mem_ctrls0_0.prePowerDownEnergy   275845077120                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls0_0.selfRefreshEnergy     31179300990                       # Energy for self refresh per rank (pJ)
system.mem_ctrls0_0.totalEnergy          2791221423900                       # Total energy per rank (pJ)
system.mem_ctrls0_0.averagePower           560.827385                       # Core power per rank (mW)
system.mem_ctrls0_0.totalIdleTime        3803003785209                       # Total Idle time Per DRAM Rank
system.mem_ctrls0_0.memoryStateTime::IDLE  18469373874                       # Time in different power states
system.mem_ctrls0_0.memoryStateTime::REF 170102414000                       # Time in different power states
system.mem_ctrls0_0.memoryStateTime::SREF  71060107928                       # Time in different power states
system.mem_ctrls0_0.memoryStateTime::PRE_PDN 718345382324                       # Time in different power states
system.mem_ctrls0_0.memoryStateTime::ACT 985394928130                       # Time in different power states
system.mem_ctrls0_0.memoryStateTime::ACT_PDN 3013598294957                       # Time in different power states
system.mem_ctrls0_1.actEnergy             50232349020                       # Energy for activate commands per rank (pJ)
system.mem_ctrls0_1.preEnergy             26699100120                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls0_1.readEnergy            63633879120                       # Energy for read commands per rank (pJ)
system.mem_ctrls0_1.writeEnergy           34012705680                       # Energy for write commands per rank (pJ)
system.mem_ctrls0_1.refreshEnergy        402227177040.000061                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls0_1.actBackEnergy        516293209200                       # Energy for active background per rank (pJ)
system.mem_ctrls0_1.preBackEnergy         14889671520                       # Energy for precharge background per rank (pJ)
system.mem_ctrls0_1.actPowerDownEnergy   1369799858220                       # Energy for active power-down per rank (pJ)
system.mem_ctrls0_1.prePowerDownEnergy   278772770880                       # Energy for precharge power-down per rank (pJ)
